"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME","ENTREZID"
"Cfa.3510.2.S1_s_at",1.42124078362356,7.11376420416303,3.97264500706907,0.000302961974409607,0.0155766687283162,0.276090682018608,"CXCL8","C-X-C motif chemokine ligand 8","403850"
"Cfa.3680.1.S1_s_at",1.46504684749333,10.7840831737365,6.42375986187442,1.4368954196825e-07,0.000883382776943378,7.29189911397118,"TIMP1","TIMP metallopeptidase inhibitor 1","403816"
"Cfa.3851.1.S1_s_at",1.75725480261164,9.78311555557238,4.65860502685132,3.76846204894957e-05,0.00591065967365203,2.18335209318045,"CCL2","C-C motif chemokine ligand 2","403981"
"Cfa.9744.1.A1_at",-1.03252183253886,10.9409442220199,-4.08920478334286,0.000214000558419992,0.0132510993260494,0.593222729603061,NA,NA,NA
"CfaAffx.11773.1.S1_at",-1.10737559739481,11.0467744353462,-3.31042834370736,0.00203556246720486,0.0425038480233679,-1.44932976075121,"KRT71; KRT73; KRT4","keratin 71; keratin 73; keratin 4","486522; 608027; 100682832"
"CfaAffx.15786.1.S1_at",1.10910383628344,9.25402749633238,3.22941758430295,0.00254487683496036,0.0480866639472429,-1.64968079129678,"ABCC11","ATP binding cassette subfamily C member 11","100856571"
"CfaAffx.18343.1.S1_at",-1.38410086103012,10.4858595358948,-4.19304295967824,0.000156609355607248,0.0112515586286443,0.878460729349965,"AOX4","aldehyde oxidase 4","488467"
"CfaAffx.21200.1.S1_s_at",1.40800687901051,7.95293043538241,3.45116146919114,0.00137340953610129,0.0343636464286275,-1.09512818741103,"LOC612044","solute carrier family 22 member 20","612044"
"CfaAffx.21215.1.S1_s_at",1.64771996197196,7.4891964757999,3.49232366445852,0.0012225557586584,0.0321593441771787,-0.990127746396968,"LOC612044","solute carrier family 22 member 20","612044"
"CfaAffx.21575.1.S1_s_at",1.01803383345103,8.78207224686856,4.40254411745299,8.28717061640394e-05,0.00853414590961212,1.46088115661823,"BCL2A1","BCL2 related protein A1","488770"
"CfaAffx.22028.1.S1_at",1.02791133669107,9.46371706685738,5.45288677122847,3.11978134505144e-06,0.00248629241082016,4.47140061544197,"UPP1","uridine phosphorylase 1","480772"
"CfaAffx.22128.1.S1_at",1.02118613797403,8.79489983190149,5.08670324153535,9.90449422191172e-06,0.00353019246329831,3.41028566953112,"S100P","S100 calcium binding protein P","610295"
"CfaAffx.23201.1.S1_at",1.16420570864206,9.2955701307192,3.8796077158694,0.000398916914009664,0.0181396244396335,0.0254689203774969,"MMP7","matrix metallopeptidase 7","489432"
"CfaAffx.24558.1.S1_at",-1.35481862885366,11.3974466616359,-3.22886211067971,0.00254875521003047,0.0480866639472429,-1.65104525056246,"KRT28","keratin 28","608107"
"CfaAffx.24563.1.S1_at",-1.09680717486397,13.2723393973243,-3.50955759486114,0.00116423519222471,0.0316090350219217,-0.945984677614897,"KRT27","keratin 27","491007"
"CfaAffx.26852.1.S1_at",1.89504418529113,12.0910147666278,3.27040365931374,0.00227368662753664,0.0450083275142776,-1.54865078688784,"S100A8","S100 calcium binding protein A8","490461"
"CfaAffx.4608.1.S1_at",1.66259588283457,7.97145701081994,3.3799027054064,0.00167763332035645,0.0383618224981614,-1.27542212978759,"LOC482436","L-amino-acid oxidase-like","482436"
"CfaAffx.851.1.S1_s_at",1.3322457052199,8.01847544972875,3.51684372166167,0.00114039028924726,0.0312010640160018,-0.927290232039986,NA,NA,NA
