"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - eukaryotes","cfa04520","Adherens junction","92/7472","94/9973",0.978723404255319,1.30631805549228,5.15742298203645,7.54019663460288e-10,5.26274948782487e-09,9.55685502559763e-10,"403580/608981/483489/100683291/475024/100856477/477039/485864/485856/475389/479772/487343/481628/474844/431695/403438/477953/100686806/403473/607207/481162/479050/484990/484526/608821/442951/476196/479252/480470/476948/488145/474698/489647/100855877/480369/403917/478559/403954/475032/479940/479970/475213/483225/480203/477575/491160/403614/480193/442858/403752/403754/403883/404306/477032/403955/477263/481271/477331/479866/475923/100856167/483088/478108/486940/477185/612070/483617/486894/478507/485924/489363/488015/609931/486205/489008/608177/486717/491867/481506/479761/100684945/479135/610902/480181/489775/482299/102156745/606814/482970/484397/611060/106559217",92
"Organismal Systems","Endocrine system","cfa04925","Aldosterone synthesis and secretion","92/7472","94/9973",0.978723404255319,1.30631805549228,5.15742298203645,7.54019663460288e-10,5.26274948782487e-09,9.55685502559763e-10,"489968/476535/485773/477160/487289/607357/482994/403897/403480/403943/488636/609091/403859/490244/403516/483146/479975/486628/608289/403731/476034/474503/475266/490904/100683160/481746/485046/481036/484665/489284/482687/486241/403607/610764/478624/475588/477098/483036/478806/474855/479756/490031/403533/403992/480416/415124/403783/403836/403914/403928/403966/607636/478365/403556/611934/492238/612941/478351/102153034/100684140/100855756/486545/486261/484724/477625/100856190/478754/483636/490273/480271/491369/607922/489050/480915/483795/482045/489479/491083/612303/482057/490455/481243/607269/609934/474584/100855828/403659/484427/612463/487146/609574/476548",92
"Environmental Information Processing","Signal transduction","cfa04150","mTOR signaling pathway","151/7472","162/9973",0.932098765432099,1.24408739128136,5.41375921421553,1.02540204985966e-09,7.01375002104005e-09,1.27365728298357e-09,"480724/489968/478232/475482/475061/480360/479736/475670/479883/449021/474840/479907/442964/479875/477546/100856339/485211/475590/485876/607640/607629/477740/478492/480580/100306933/478347/403872/477225/474628/475199/609935/477600/608532/486756/607653/609956/477461/484990/490904/475667/488478/100856572/442951/483312/403871/474994/477437/483777/487870/479529/489525/607755/490564/100685060/484648/480125/477403/483665/479891/403647/478575/100855877/479356/484721/478870/476614/477085/479351/403954/489667/486137/486953/485088/611939/477575/478725/403610/403634/403735/403832/610255/475545/487235/480688/487073/612448/403922/609909/612591/610936/489038/482839/607180/487210/486232/474722/486093/486560/477796/486841/486148/487981/488084/490256/610499/487335/478650/487353/609377/489809/481496/477692/490919/609107/481206/483220/490937/490682/100533463/482028/488146/612367/488527/488528/489464/491907/489099/100855884/491989/482208/482209/490878/489228/489571/100855811/490076/611588/489644/479653/482294/482316/481359/100855828/612141/610130/612328/475526/485149/485442/485183/608378",151
"Organismal Systems","Endocrine system","cfa04920","Adipocytokine signaling pathway","71/7472","71/9973",1,1.33471627408994,4.89212181496438,1.15070105737262e-09,7.71646591414578e-09,1.401266509494e-09,"478013/403583/474652/475546/477732/478232/477488/442859/482437/449021/442964/491278/485024/403560/480291/478927/100685468/475631/403654/450207/485548/484185/480255/486295/477820/479127/490967/477746/480673/611262/478989/479351/403492/475257/481184/100856778/485088/403673/475931/478464/486559/403625/403634/442949/488526/403922/479067/482839/476732/481735/474670/481018/484716/486263/477796/479995/486148/100856379/488389/483729/490942/487437/492059/490878/489571/100683481/611198/403616/102155642/403659/484519",71
"Organismal Systems","Nervous system","cfa04728","Dopaminergic synapse","126/7472","133/9973",0.947368421052632,1.26446804913783,5.30706251623602,1.21744529236043e-09,8.00704403821666e-09,1.4540338511997e-09,"489968/403486/474652/483783/480436/488355/485773/449021/485189/477160/403450/478053/610262/445450/484335/442964/477374/403895/476860/100686332/403856/403943/403859/403516/479975/479444/486628/403451/100683432/476034/474503/610817/475266/490904/481746/485046/494009/100855806/480349/480289/489284/490280/442957/482687/479733/609027/403912/474416/610764/477746/481806/479248/478575/609157/608623/611810/485672/476144/608394/100855651/100855509/491697/478806/403558/478464/474855/478227/480416/403444/403617/403928/403557/403511/106560171/606852/403556/611934/611002/482873/490792/480660/612941/478351/489427/102153034/484724/482667/100856190/483636/487756/486138/609304/487984/491587/607513/488087/478775/486908/607023/491369/607922/403701/483755/489050/488824/607262/489110/100686650/612303/489168/490878/492110/607658/490012/607269/100534634/612821/612139/611349/475145/474584/100855828/106559760/484476/487146/476548",126
"Organismal Systems","Immune system","cfa04062","Chemokine signaling pathway","167/7472","181/9973",0.922651933701657,1.23147855123215,5.43209130630189,1.25292887503197e-09,8.0849372690742e-09,1.46817882079218e-09,"486102/608981/489968/485874/483783/442859/485773/449021/485189/477160/487289/607357/485864/442964/100856339/486327/403895/482994/480602/100686332/612913/480291/490969/481954/403859/479975/480604/487341/479075/479577/478347/403872/448802/448787/100683432/480603/477953/476034/490439/609956/610817/448786/448798/448795/448793/448792/448790/448789/445452/445451/494005/100855806/484789/491148/491952/483312/608156/478432/403871/482196/442957/484185/483701/486299/479733/612101/403912/477886/490967/484648/478624/478575/100855877/485917/608623/611810/477085/403954/476352/607700/489692/449622/483225/475108/403522/610078/481111/479921/477575/490031/478227/607885/403586/403617/403850/403735/403928/403981/487235/403955/403511/480601/403541/448796/481271/480600/100684653/403556/611002/482839/485557/485828/485693/487265/100686212/487731/477625/100856190/477796/607513/488084/488087/486915/480271/489378/445454/483729/484790/484791/484792/608840/484793/484080/490682/483763/487546/610004/608125/490356/491867/607514/607262/491011/482045/489128/608225/612805/489159/480181/448788/490878/485016/100684309/100534634/612139/611349/489644/608060/482970/475526/483266/106559760/484476/106557449/485600/484519/106559217",167
"Organismal Systems","Nervous system","cfa04727","GABAergic synapse","90/7472","92/9973",0.978260869565217,1.30570070291407,5.09146335103522,1.29563147275526e-09,8.20566599411662e-09,1.49010247353918e-09,"492223/612919/489968/483783/490739/477633/606913/487289/484655/607357/485905/485864/100687745/403895/478794/482994/100686332/479479/403859/490244/403516/476617/476534/479975/403443/100683432/610817/490904/100855806/442957/490921/479733/403912/478624/609157/478858/608623/611810/488475/479646/490031/478227/403617/489609/479856/403511/488448/403556/100686499/611002/480660/482131/481627/483960/484724/477625/485870/100684421/486596/487756/488685/488688/607513/488087/488340/480271/612527/404013/100856253/480915/607751/482045/100686650/489124/489141/489143/489145/489146/492220/492225/100534634/612139/611349/100856619/482132/100855828/481917/481918/106559760/487107",90
"Organismal Systems","Endocrine system","cfa04916","Melanogenesis","97/7472","100/9973",0.97,1.29467478586724,5.11883497636883,1.68878286927398e-09,1.01862767424647e-08,1.84977016868396e-09,"489968/403405/403507/485773/477160/487289/607357/482994/403943/403424/403859/479975/478347/403872/476034/486756/490904/488478/485046/492296/403871/442957/482687/610764/403811/484648/478624/478575/403479/609157/100855877/484721/611810/611939/415126/477575/490031/478227/480416/403610/403862/403735/403928/477032/487073/403556/611934/607180/479866/612941/478351/102153034/489652/486232/612070/486093/486560/477625/100856190/483636/486841/486894/478507/478650/480271/489809/490919/609107/491369/607922/481206/483220/490937/612367/488527/488528/489050/481506/489464/482045/100684945/100855884/482208/612303/482209/607269/100855811/482294/474584/100855828/612141/612328/403659/485149/487146/485183/485520",97
"Organismal Systems","Digestive system","cfa04974","Protein digestion and absorption","97/7472","100/9973",0.97,1.29467478586724,5.11883497636883,1.68878286927398e-09,1.01862767424647e-08,1.84977016868396e-09,"403651/475192/478196/479650/481881/474811/481734/483802/480684/488636/403824/474778/403668/475085/477120/608594/474945/485197/480847/403843/478835/403840/478767/476788/403496/607775/403841/100683912/608910/481036/483777/403466/403467/100856491/475738/611100/403512/477098/100687767/403992/478836/403700/403826/403711/403739/403751/403842/403966/475521/489174/403561/489173/482056/484961/403582/484420/481873/610649/610614/485659/484601/485707/607556/478538/486596/483669/488073/487318/490602/102152687/490608/477411/612430/485971/608184/609516/100686744/490755/489479/489175/490497/492124/100685969/479649/479965/481780/481826/481872/607609/482478/482987/612335/100856711/484425/607790/484464/612463",97
"Organismal Systems","Digestive system","cfa04972","Pancreatic secretion","89/7472","91/9973",0.978021978021978,1.30538185048356,5.05817923598256,1.69771279041079e-09,1.01862767424647e-08,1.84977016868396e-09,"608981/475192/478196/479650/489968/476535/485773/477160/487289/607357/475538/482994/479797/609547/403480/403943/488636/403859/403773/608594/486628/403731/476034/490904/481746/608910/481036/492302/611100/477928/403512/478624/478207/477098/403954/491280/483225/403957/403615/490031/403992/403756/403827/403928/403966/403984/404010/475521/477830/475171/403955/478171/102151235/403878/478514/492238/483974/485698/485707/477625/100856190/483669/404011/483683/486903/481490/480271/486361/491437/100686744/489045/487398/487399/487397/488846/482045/489479/476708/489997/607460/479649/612508/490178/612510/100855828/483261/483883/612463/476548",89
"Human Diseases","Infectious disease: bacterial","cfa05135","Yersinia infection","124/7472","131/9973",0.946564885496183,1.26339555715383,5.24511643380885,1.96531260664618e-09,1.15885674391895e-08,2.10441821764291e-09,"403580/486102/485217/485874/474652/442859/449021/480037/489508/475549/476331/485864/442964/100856339/403417/403856/100684384/479745/612913/480291/487343/491949/483925/479409/485004/478347/487245/480454/403473/609956/486934/486493/479678/477520/484028/100856354/612856/486299/100856347/100856398/477024/475846/489547/476412/489126/477746/106560075/482366/478151/478575/100855877/480673/608186/477085/403954/475213/481396/475108/483076/611939/490679/478464/479921/477575/403850/403974/403985/403702/403157/403931/403845/403928/403628/403981/403796/487235/403955/479744/612448/485552/403922/481271/403989/482839/490792/475923/100688110/100856747/481145/477796/486601/490576/488084/485930/487353/489800/607023/488409/483729/488429/478907/608125/491867/607947/491989/480181/490878/485016/609429/481245/100684309/485054/612821/492247/489644/608060/490174/481558/100271860/102156745/482970/477956/479355/106559217",124
"Organismal Systems","Immune system","cfa04611","Platelet activation","116/7472","122/9973",0.950819672131147,1.2690744901183,5.16850573431642,2.86142230766114e-09,1.65865496477985e-08,3.01202348174857e-09,"403580/403651/608981/478331/403784/485773/449021/477160/487289/399544/607357/100856393/485864/442964/100856339/482994/403856/403943/403824/403859/477187/479409/479975/488012/475473/475474/479577/486628/478835/607207/476034/609956/490901/481746/475472/100856539/475345/449621/442957/100856354/612101/608643/609616/477886/489126/484196/478268/478624/100855877/611810/477085/403954/475032/489692/483225/403558/553102/480048/477575/490031/478227/480193/403789/403638/403788/403928/403936/487514/442958/487235/403557/609784/491223/403544/403556/478255/475923/486261/482663/100855930/477625/100856190/488942/487512/608811/487515/488084/480271/607023/403798/483766/479455/478686/484846/482045/608225/612805/480181/490878/489208/485056/612821/489644/100630922/484303/482970/477956/483266/482771/403543/484429/485435/477985/609630/475411/476548",116
"Cellular Processes","Cellular community - eukaryotes","cfa04550","Signaling pathways regulating pluripotency of stem cells","134/7472","143/9973",0.937062937062937,1.25071315194442,5.21940620237565,3.3662007042132e-09,1.91873440140152e-08,3.48431300962419e-09,"442952/489077/449021/100856477/479139/612315/442964/486537/449478/100856339/474619/478729/403856/478484/478347/403872/490798/489095/102154408/475785/486756/403449/609956/100683464/481520/488478/403545/442951/483312/106558270/476196/403871/484185/486794/476140/100856284/490967/484648/490099/478575/100855877/484721/477085/488159/483186/611939/481657/477575/403610/403735/415125/403857/403924/489729/610255/477032/487235/100686903/487073/478757/403547/607180/491035/486006/486232/609779/483441/475456/607422/484718/100856447/486093/486560/486283/477494/488361/486841/609633/481709/490903/488084/488092/478650/607023/489809/490919/609107/481206/483220/100856473/489028/490937/612367/490695/488527/488808/488528/100682666/610004/481506/487558/489464/481516/491052/100855884/482208/610902/482209/480144/489164/490878/612954/492171/492240/100855811/612821/485079/485084/489644/482294/482313/482163/482367/610347/612141/612328/483245/487097/485149/483880/485590/485183/609234/482582",134
"Organismal Systems","Endocrine system","cfa04926","Relaxin signaling pathway","121/7472","128/9973",0.9453125,1.26172397785064,5.15102144087617,4.01768395555937e-09,2.25253756196935e-08,4.09048064500436e-09,"403651/474652/483783/442859/403784/485773/449021/485189/477160/489508/487289/607357/477039/485864/442964/100856339/403895/482994/100686332/403856/480291/403943/403424/403824/491749/477498/403859/481628/479975/485004/479577/478347/403872/403436/100683432/403843/478835/403840/476034/490439/609956/474503/610817/475266/403496/490904/403841/485046/450220/100855806/483312/403871/442957/479733/403466/403912/484648/477746/478624/609157/100855877/608623/611810/477085/476352/611939/476036/478806/478464/474855/477575/490031/478227/403885/403617/403802/403862/403733/403735/403763/403822/403842/404306/487235/403511/403556/611934/611002/490792/482932/100855494/477625/100856190/483636/607513/488084/488087/480271/607023/483729/491369/607922/490682/487546/489428/477587/607262/482045/612303/480144/490878/489237/609429/485063/100534634/612821/612139/611349/489644/403742/106559760",121
"Organismal Systems","Circulatory system","cfa04270","Vascular smooth muscle contraction","127/7472","135/9973",0.940740740740741,1.25562197636609,5.16849837554419,4.20729494045261e-09,2.32079817683031e-08,4.21443805580142e-09,"478013/489968/485773/477160/487289/480515/607357/475792/403866/482994/491857/485856/481280/403943/403424/474762/403859/490244/477187/403516/479409/479975/488012/475366/610385/478347/479497/486628/608289/607030/490230/476034/102154318/490901/490904/481746/608135/494005/450187/475345/100683226/479836/607163/100856354/606992/609616/484648/478624/481256/100855877/478207/403508/403954/611939/403558/553102/480048/477575/490031/480416/403783/403836/403914/403928/403946/403960/403962/403984/487514/403557/488438/102151235/403556/478514/478351/403579/482856/102153034/403817/100855453/482663/403415/484724/477625/100856190/481142/487512/608811/487515/488578/404011/610169/488085/606919/403406/480271/486361/489045/479455/487398/487399/487397/488179/490722/477587/480915/482045/490402/487441/403983/490455/403410/480181/489997/607269/609934/474584/100855828/100855938/100688336/482970/475526/484429/485435/487146/475411/476548",127
"Organismal Systems","Immune system","cfa04660","T cell receptor signaling pathway","114/7472","120/9973",0.95,1.26798046038544,5.10460605373158,4.65051980510926e-09,2.52456789420217e-08,4.58447232249702e-09,"478013/403486/485874/474652/612559/480436/477488/442859/449021/478053/610262/484335/442964/479875/100856339/477374/476188/403856/480291/483925/485004/479444/403646/478347/403872/487965/609956/479678/483312/480349/480289/403871/490280/609027/490255/403468/611571/489126/484648/477746/481806/478151/479248/478575/100855877/477085/403954/475032/485672/483076/481131/611939/100855509/490183/478464/479921/477575/607885/403790/403696/403735/403157/403931/403923/403628/442981/403785/403801/487235/403922/479419/403989/478255/482839/482873/490792/485677/100856038/477796/491587/488084/485930/607023/489383/403456/612814/486213/483729/488036/490926/483755/490682/486717/489887/607947/489159/492067/490878/481241/485016/609429/612821/100683481/489644/608060/482140/102155642/481319/100271860/102156745/487085/484513/484519/485772",114
"Cellular Processes","Cell growth and death","cfa04210","Apoptosis","126/7472","134/9973",0.940298507462687,1.25503172041292,5.13716884626049,5.31014145670949e-09,2.83760684092914e-08,5.15293332147796e-09,"403580/478918/474652/100683675/442859/449021/403416/477463/475392/442964/479450/479875/403484/100856339/100855728/482737/480291/611983/489623/476010/612867/483745/611694/478347/403872/480118/479458/106557476/486628/476215/474873/609956/609293/474503/481048/481746/403869/442936/403400/403871/486896/483662/474663/480571/488471/486469/489433/484648/477746/487899/100855877/480673/480361/611262/479464/477085/484745/487432/100174780/488770/611939/481276/486077/490385/403523/403567/482620/479065/478464/477575/480124/403537/403634/403735/475258/403402/487235/442989/442968/403662/475782/403922/608843/403618/482839/490792/475923/475756/481497/482665/100856405/403458/612984/102152063/483649/477796/100855995/488084/610766/488473/488472/490630/483725/483729/490926/102156614/489030/483763/610636/481744/486762/490404/487449/490878/484140/609429/485069/485070/489644/608916/491356/484198/607439/612153/487148/476548",126
"Human Diseases","Cancer: specific types","cfa05221","Acute myeloid leukemia","65/7472","65/9973",1,1.33471627408994,4.67943294714911,6.5954818853034e-09,3.47023816119041e-08,6.30175597138301e-09,"480522/478232/442859/449021/442964/100856339/475590/491857/480526/490969/480580/478347/403872/609956/449028/483312/403871/477302/481772/403462/489398/489188/403811/490967/484648/100855877/490968/477085/488770/611939/477575/403735/403923/403924/487235/442959/487044/607076/482839/482594/486025/100683573/481497/612070/611255/477796/487746/486894/488084/478507/490607/610499/486180/483729/490682/483763/481506/489928/609986/487641/490878/481756/489644/475526/483845",65
"Human Diseases","Cancer: specific types","cfa05224","Breast cancer","135/7472","145/9973",0.931034482758621,1.24266687587684,5.08761977710511,1.00981359593396e-08,5.23267045165781e-08,9.5022331993786e-09,"475684/478232/449021/100856477/479139/442964/474890/100856339/403420/491857/100855728/100855664/480580/100306933/478347/403872/403437/483626/490439/477340/486756/609956/479331/485769/488478/403869/486507/442951/449028/483312/403639/403871/403811/484648/490099/478575/100855877/484721/477085/476352/481131/611939/486858/403523/477575/403610/403621/403640/403657/476915/403735/403832/403857/403868/403883/403915/403924/610255/404306/477032/487235/487073/607180/490792/474180/607724/486232/100855820/485839/612070/486093/486560/608459/479180/607575/486841/607952/488239/611707/483680/483681/483148/481464/486894/490903/488084/478507/610499/478650/489809/477692/490919/609107/481206/481726/483220/490937/490682/612367/487546/488527/488528/486735/611773/481506/481744/489464/610439/611641/100855884/491974/482208/482209/490878/490882/612454/609429/100855811/485069/485084/480676/612404/489644/482294/609920/484198/612141/612328/484395/475526/100688936/485149/609418/485183/484508",135
"Cellular Processes","Cell growth and death","cfa04218","Cellular senescence","146/7472","158/9973",0.924050632911392,1.23334541782994,5.11017048538065,1.07186119245942e-08,5.47129146001675e-08,9.93555543678019e-09,"403486/612559/478232/442859/479883/449021/403476/606789/477039/607454/442964/479450/484780/474890/611243/100856339/476458/478324/475590/478127/486743/100855728/477295/486079/403856/481954/606963/475803/475031/481628/100855664/483925/483745/492093/478347/403872/480454/480118/486628/476413/483594/609956/479291/481746/479678/403869/474681/494006/449494/449028/490263/403871/477302/475947/489287/481459/609027/490748/478149/486338/489547/476865/484648/611889/479248/100855877/608420/479366/477085/484610/100856079/541592/481131/489042/611782/611939/611881/403558/475481/477575/474836/480416/488596/477232/487057/403850/403985/476915/403735/403782/403832/403924/480830/475545/487235/403557/490796/480688/474674/482772/403693/475630/479255/611315/478351/102153034/100855704/484575/485839/477082/100856315/100855506/484724/611103/477221/478454/486851/488239/609767/474838/488084/483696/485930/100855619/480272/607023/489012/483729/478300/610902/480144/490878/607269/612821/485069/489644/608847/481563/609920/484198/100856710/474584/483832/483845/487146/476548",146
"Human Diseases","Substance dependence","cfa05032","Morphine addiction","89/7472","92/9973",0.967391304347826,1.29119291732613,4.84983532099956,1.36261252141919e-08,6.75381858442557e-08,1.22645520615915e-08,"492223/486975/489968/483783/606913/488355/485189/487289/607357/100687745/486327/403895/482994/100686332/403943/403859/479975/479075/487221/100683432/610817/490904/475272/100855806/489284/442957/483701/479733/403912/478624/479540/609157/488939/608623/611810/609938/488752/490031/478227/403617/403652/489609/403511/100684653/484073/403556/611002/480660/482131/481627/100856025/483996/477625/485870/100684421/487756/488685/488688/403961/607513/484041/488087/486915/488340/480271/610836/488422/607262/482045/489110/100686650/489124/489141/489143/489145/489146/100683695/492220/492225/100534634/612139/611349/100856619/482132/100855828/481917/481918/106559760/609574",89
"Human Diseases","Cancer: specific types","cfa05222","Small cell lung cancer","89/7472","92/9973",0.967391304347826,1.29119291732613,4.84983532099956,1.36261252141919e-08,6.75381858442557e-08,1.22645520615915e-08,"442859/100686141/449021/475882/403416/442964/474890/100856339/491278/100855728/609969/480291/403429/100855664/442939/480173/102156629/475034/403843/403840/483626/476626/609956/403496/403841/403869/480034/449028/491074/607083/403466/488437/489433/100856563/480673/100683420/478989/479464/477085/484610/487432/475108/481131/403523/403567/482620/612237/487057/442942/403789/476915/403822/403832/403842/403845/403924/475258/442953/487235/442989/477045/491290/403618/482839/481735/100215999/100855704/100688110/485839/479180/477796/488239/488084/480019/442954/485969/483729/481744/490867/490878/489208/489228/485069/489644/481563/609920/484198/483260/477956",89
"Environmental Information Processing","Signal transduction","cfa04012","ErbB signaling pathway","81/7472","83/9973",0.975903614457831,1.30255443616006,4.78406582028391,1.46095925463784e-08,7.13782950123061e-08,1.29618941388922e-08,"489968/485874/474652/478232/449021/489508/485864/442964/474890/100856339/475590/491857/480052/490969/403429/485004/403431/480580/478347/403872/487965/490439/609956/490904/483808/483312/403871/482687/610764/484648/477746/478575/100855877/490968/477085/476352/489692/475108/611939/478464/477575/607885/403657/403735/403883/403924/404306/487235/481105/479263/488508/482861/612941/607007/485677/100856038/482682/488084/610499/489369/612814/490682/483763/487546/491860/489050/608125/492067/490878/609429/100684309/489644/491292/481319/100855828/611946/475176/475526/484513/485772/487158",81
"Human Diseases","Cancer: specific types","cfa05218","Melanoma","72/7472","73/9973",0.986301369863014,1.31643248951336,4.69005160654095,1.6502236805316e-08,7.94896477101135e-08,1.44348698519443e-08,"442860/449021/100856477/442964/474890/100856339/491857/100855728/100855664/478347/403872/403438/483626/477340/609956/479460/403869/442951/449028/491597/403871/484648/489647/100855877/477085/481131/611939/403523/415126/477575/442858/403657/476915/403735/403832/403857/403868/403915/610255/404306/442985/442986/487235/403693/482666/607724/403441/100855820/485839/608459/479180/607952/488239/611707/483680/483681/488084/483763/486735/611773/481744/611641/491974/490878/612454/485069/612404/489644/609920/484198/484395/475526",72
"Organismal Systems","Environmental adaptation","cfa04713","Circadian entrainment","95/7472","99/9973",0.95959595959596,1.28078834382368,4.85291664452288,1.84571307841528e-08,8.76713712247258e-08,1.59206245067985e-08,"480087/608256/489968/483783/488355/485773/477160/487289/607357/100686627/403895/482994/100686332/403943/477498/403859/606491/403516/479975/100683432/476034/490831/610817/490904/481746/494009/494007/489542/100855806/489284/442957/482687/479733/609616/403912/610764/478624/609157/100855877/608623/611810/553102/403615/477575/490031/403533/478227/480416/403617/403928/607433/403511/403556/611002/490792/612941/478351/489427/102153034/482663/484724/482667/100855930/477625/100856190/487756/607513/488087/480271/486180/609484/607922/479455/489050/482045/489488/491083/489168/492110/481243/490012/607269/100534634/612139/611349/474584/100855828/482386/484405/607818/106559760/485435/483302/487146/476548",95
"Organismal Systems","Aging","cfa04211","Longevity regulating pathway","87/7472","90/9973",0.966666666666667,1.29022573162027,4.78041381018999,2.28832809363109e-08,1.05757865948897e-07,1.92050295198058e-08,"475546/477732/478232/477876/442859/479883/449021/487289/607357/442964/100856339/475590/482994/477295/481954/403859/479975/480580/100685604/403872/491224/476258/609956/474503/475266/484990/403869/485046/442951/403871/485548/477437/487870/486295/486535/479127/483665/478624/477085/479351/481956/485088/403523/478806/474855/490031/486559/474851/610868/403625/403735/610255/483632/475545/487235/488526/480688/403556/611934/403474/100684140/484716/486263/477625/483636/479995/486148/100856379/488084/610499/487335/480271/489012/483729/491369/607922/482045/489099/612303/492059/490878/489571/489644/610130/485118/403606/608378",87
"Environmental Information Processing","Signaling molecules and interaction","cfa04512","ECM-receptor interaction","87/7472","90/9973",0.966666666666667,1.29022573162027,4.78041381018999,2.28832809363109e-08,1.05757865948897e-07,1.92050295198058e-08,"403651/481097/475882/399544/488723/477598/484087/477021/403824/478446/403668/442939/487891/479574/481547/480173/102156629/475034/611838/403843/403440/403840/476626/480621/486493/403496/403841/480034/100682877/489210/491074/608977/403466/488437/100856491/100856563/100683420/100855661/487486/485893/476623/475931/487119/403789/403638/403826/403788/403842/403845/403939/442953/491290/483273/483318/478552/478353/476665/478471/403582/481873/610649/610614/485659/488930/488943/487849/609146/487851/488368/608287/442954/612430/488429/490334/490335/610359/609296/489208/475253/484303/607609/481689/483260/482986/477956/609630/486002",87
"Cellular Processes","Transport and catabolism","cfa04142","Lysosome","125/7472","134/9973",0.932835820895522,1.2450711512033,4.93653056584633,2.59869750252824e-08,1.18500606115288e-07,2.15190389683041e-08,"481037/475316/403403/474429/479666/479915/489052/478100/479042/479685/611468/100688000/483691/480232/483352/100856090/480253/485334/476406/611983/480460/487324/476010/482833/479877/482897/479973/477568/476283/481226/475443/479794/477929/608555/484067/478909/474457/480283/475678/487883/474631/479240/489104/478306/485498/403400/403459/484760/403698/483662/487633/481266/100856506/476705/475211/607494/490019/612206/100855818/474969/475638/478435/609321/611146/486953/482528/486077/484932/476995/479065/484681/476750/403707/403831/403873/403916/403920/403929/477700/100856559/476191/483310/607705/476697/610364/609840/474391/481717/608843/478304/490004/474856/100856363/475020/483125/484016/479053/486245/485337/486543/482665/475983/403458/486117/488577/608602/475042/608620/486344/106559147/483725/102156614/490965/480578/611211/611517/484140/102153355/492194/489661/489681/475212/476086/482779/482841",125
"Metabolism","Carbohydrate metabolism","cfa00562","Inositol phosphate metabolism","70/7472","71/9973",0.985915492957746,1.31591745332811,4.61736337546334,2.87555561585226e-08,1.27719483197594e-07,2.31931348373593e-08,"485874/100686373/485773/477160/476331/477925/100684810/484215/486808/485209/478842/476034/491034/100856311/483196/489940/485399/490779/475846/477336/492211/484668/490477/100682913/477085/489692/612385/474417/480647/492123/484795/608414/403832/403937/480570/100856192/478890/612489/477711/490383/476072/475023/487507/475612/478403/100856190/486824/478938/490591/488084/481189/100688270/484052/486657/477681/486360/490929/476667/478910/486443/486462/608801/485054/607443/489644/609122/474563/483266/606918/485586",70
"Human Diseases","Cancer: specific types","cfa05223","Non-small cell lung cancer","70/7472","71/9973",0.985915492957746,1.31591745332811,4.61736337546334,2.87555561585226e-08,1.27719483197594e-07,2.31931348373593e-08,"489968/485874/449021/607454/442964/479875/474890/100856339/491278/607929/477240/491857/100855728/490969/481954/100855664/403431/478347/403872/403438/483626/609956/490904/403869/449028/483312/403871/474416/490967/484648/100855877/490968/478989/477085/476144/403494/489692/487432/100855651/481131/611939/403523/483048/477575/403657/476915/403735/403883/404306/487235/477045/481735/100215999/403441/485839/479180/488239/488084/490682/483763/610004/481744/490878/485069/489644/609920/484198/100855828/475526/483021",70
"Organismal Systems","Endocrine system","cfa04910","Insulin signaling pathway","130/7472","140/9973",0.928571428571429,1.23937939736923,4.93015403380852,3.05964765909743e-08,1.3415378197581e-07,2.43615670562414e-08,"474652/475546/403738/478232/478139/479883/449021/100682715/442964/479875/607275/100856339/475590/480459/491857/403560/475389/477295/100856195/482881/485209/479975/479577/480580/478347/403872/474831/480805/100686806/487965/490439/609956/100685468/484990/476300/612212/483312/403871/485548/100685147/483378/480255/487870/477766/486295/476299/403607/479127/476726/484648/477746/483665/403475/611993/478575/100855877/477085/479351/491130/403492/476352/477003/403673/611939/403558/478464/489784/477575/486559/479234/480416/403735/403737/403937/442949/475545/487235/403557/488526/480688/477263/403556/100687271/490425/482839/475887/474579/478351/100855737/102153034/474722/100856448/486148/100856379/488084/490610/610499/488389/489369/485953/489820/489019/490682/611078/490942/483763/488146/487546/478686/491860/608125/491877/489096/489099/491956/492059/490878/490006/489571/100684309/607269/489644/491286/474584/606490/482411/475526/482509/487146/608378",130
"Organismal Systems","Nervous system","cfa04722","Neurotrophin signaling pathway","112/7472","119/9973",0.941176470588235,1.25620355208465,4.85965086436789,3.34661390438662e-08,1.44878728519016e-07,2.63091566101013e-08,"608981/485874/474652/484147/477488/479915/403408/442859/449021/403416/442964/479875/100856339/480481/403856/480291/481954/485004/478347/403872/486666/476215/490439/490831/609956/474503/475657/403869/100682628/483808/494005/483312/100683018/490263/403871/403461/482687/610764/484648/477746/478575/100855877/480645/478061/474444/477085/403954/477936/476352/489692/483225/611939/612792/403523/480923/478464/100856261/477575/480416/403735/403402/487235/442968/403955/612448/475924/482839/612941/478351/490382/102153034/100688110/100684140/481150/486601/486148/488084/487353/607023/483729/489820/490682/483763/487546/489050/608125/486731/611541/490404/491071/491989/609559/489532/490878/609429/100684309/611999/607269/612821/100683481/492247/489620/489644/491286/491292/481291/102155642/102154776/474584/475526/487146/484519",112
